"","SITE_ID","YEAR","VISIT_NO","SAMPLED_SECCHI","DATE_SECCHI","SECMEAN","CLEAR_TO_BOTTOM","FLAG_SECCHI","COMMENT_SECCHI"
"1","NLA06608-0001",2007,1,"YES","7/31/2007",6.4,"","",""
"2","NLA06608-0002",2007,1,"YES","6/14/2007",0.55,"","",""
"3","NLA06608-0002",2007,2,"YES","7/23/2007",0.45,"","",""
"4","NLA06608-0003",2007,1,"YES","8/29/2007",0.71,"","",""
"5","NLA06608-0003",2007,2,"YES","9/6/2007",0.49,"","",""
"6","NLA06608-0004",2007,1,"YES","7/10/2007",1.8,"","",""
"7","NLA06608-0004",2007,2,"YES","9/11/2007",1,"","",""
"8","NLA06608-0005",2007,1,"YES, CLEAR TO BOTTOM","7/18/2007",NA,"Y","",""
"9","NLA06608-0005",2007,2,"YES, CLEAR TO BOTTOM","8/22/2007",NA,"Y","",""
"10","NLA06608-0006",2007,1,"YES","7/17/2007",3.21,"","","10.6 FT FOR BOTH"
"11","NLA06608-0006",2007,2,"YES","8/30/2007",4.1,"","",""
"12","NLA06608-0007",2007,1,"YES","7/24/2007",3.15,"","",""
"13","NLA06608-0007",2007,2,"YES","9/6/2007",3.35,"","",""
"14","NLA06608-0008",2007,1,"YES","7/12/2007",0.79,"","",""
"15","NLA06608-0008",2007,2,"YES","8/22/2007",0.41,"","",""
"16","NLA06608-0010",2007,1,"YES","7/17/2007",4.48,"","",""
"17","NLA06608-0010",2007,2,"YES","8/18/2007",2.6,"","",""
"18","NLA06608-0012",2007,1,"YES","6/13/2007",0.31,"","",""
"19","NLA06608-0012",2007,2,"YES","9/18/2007",0.27,"","",""
"20","NLA06608-0013",2007,1,"YES","9/4/2007",0.65,"","",""
"21","NLA06608-0013",2007,2,"YES","9/14/2007",1.05,"","",""
"22","NLA06608-0014",2007,1,"YES","8/6/2007",0.85,"","",""
"23","NLA06608-0014",2007,2,"YES","8/23/2007",0.63,"","",""
"24","NLA06608-0015",2007,1,"YES","7/10/2007",0.37,"","",""
"25","NLA06608-0015",2007,2,"YES","8/29/2007",0.38,"","",""
"26","NLA06608-0016",2007,1,"YES","6/27/2007",0.54,"","",""
"27","NLA06608-0016",2007,2,"YES","7/11/2007",0.5,"","",""
"28","NLA06608-0019",2007,1,"YES","6/11/2007",0.35,"","","VERY STIRRED"
"29","NLA06608-0019",2007,2,"YES","8/7/2007",0.55,"","",""
"30","NLA06608-0020",2007,1,"YES","6/11/2007",0.69,"","",""
"31","NLA06608-0020",2007,2,"YES","7/2/2007",1.07,"","",""
"32","NLA06608-0021",2007,1,"YES","7/27/2007",7.1,"","",""
"33","NLA06608-0021",2007,2,"YES","8/30/2007",4.75,"","",""
"34","NLA06608-0023",2007,1,"YES","8/9/2007",0.95,"","",""
"35","NLA06608-0023",2007,2,"YES","9/19/2007",1.3,"","",""
"36","NLA06608-0024",2007,1,"YES","7/11/2007",0.9,"","",""
"37","NLA06608-0024",2007,2,"YES","8/14/2007",1.08,"","",""
"38","NLA06608-0025",2007,1,"YES","6/18/2007",3.55,"","",""
"39","NLA06608-0025",2007,2,"YES","7/18/2007",3.45,"","",""
"40","NLA06608-0029",2007,1,"YES","7/2/2007",0.27,"","",""
"41","NLA06608-0029",2007,2,"YES","9/11/2007",0.25,"","",""
"42","NLA06608-0031",2007,1,"YES","6/13/2007",0.98,"","",""
"43","NLA06608-0031",2007,2,"YES","9/5/2007",0.9,"","",""
"44","NLA06608-0033",2007,1,"YES","7/17/2007",0.7,"","","SAMPLED 1M DOWN TO AVOID SEDIMENT"
"45","NLA06608-0033",2007,2,"YES","8/28/2007",0.95,"","",""
"46","NLA06608-0036",2007,1,"YES","7/12/2007",2.23,"","",""
"47","NLA06608-0036",2007,2,"YES","7/16/2007",2.67,"","",""
"48","NLA06608-0037",2007,1,"YES","7/13/2007",2.9,"","",""
"49","NLA06608-0037",2007,2,"YES","9/5/2007",4.1,"","",""
"50","NLA06608-0038",2007,1,"YES","7/12/2007",4.45,"","",""
"51","NLA06608-0038",2007,2,"YES","8/27/2007",5.95,"","",""
"52","NLA06608-0041",2007,1,"YES","6/12/2007",9.48,"","",""
"53","NLA06608-0041",2007,2,"YES","7/11/2007",7.15,"","",""
"54","NLA06608-0042",2007,1,"YES","6/22/2007",3.38,"","",""
"55","NLA06608-0042",2007,2,"YES","7/6/2007",4.8,"","",""
"56","NLA06608-0043",2007,1,"YES","7/31/2007",1.85,"","",""
"57","NLA06608-0043",2007,2,"YES","8/15/2007",1.45,"","",""
"58","NLA06608-0044",2007,1,"YES","7/18/2007",0.12,"","",""
"59","NLA06608-0044",2007,2,"YES","7/30/2007",0.1,"","",""
"60","NLA06608-0045",2007,1,"YES","6/26/2007",0.86,"","",""
"61","NLA06608-0045",2007,2,"YES","8/2/2007",0.96,"","",""
"62","NLA06608-0048",2007,1,"YES","8/2/2007",0.28,"","",""
"63","NLA06608-0048",2007,2,"YES","9/18/2007",0.48,"","",""
"64","NLA06608-0049",2007,1,"YES","8/15/2007",2.53,"","",""
"65","NLA06608-0050",2007,1,"YES","7/2/2007",1.5,"","",""
"66","NLA06608-0050",2007,2,"YES","8/30/2007",1.1,"","",""
"67","NLA06608-0053",2007,1,"YES","8/23/2007",0.85,"","",""
"68","NLA06608-0053",2007,2,"YES","9/27/2007",1.05,"","",""
"69","NLA06608-0057",2007,1,"YES","6/16/2007",0.5,"","",""
"70","NLA06608-0057",2007,2,"YES","7/14/2007",0.35,"","",""
"71","NLA06608-0061",2007,1,"YES","6/12/2007",2,"","",""
"72","NLA06608-0061",2007,2,"YES","8/22/2007",1.63,"","",""
"73","NLA06608-0062",2007,1,"YES","8/9/2007",1.16,"","",""
"74","NLA06608-0062",2007,2,"YES","8/27/2007",2,"","",""
"75","NLA06608-0064",2007,1,"YES","6/18/2007",0.46,"","",""
"76","NLA06608-0064",2007,2,"YES","8/26/2007",0.28,"","",""
"77","NLA06608-0065",2007,1,"YES","7/17/2007",7.02,"","",""
"78","NLA06608-0065",2007,2,"YES","9/12/2007",5.8,"","",""
"79","NLA06608-0066",2007,1,"YES","6/12/2007",2.75,"","",""
"80","NLA06608-0066",2007,2,"YES","9/18/2007",2.55,"","",""
"81","NLA06608-0068",2007,1,"YES","7/9/2007",3.8,"","",""
"82","NLA06608-0068",2007,2,"YES","9/12/2007",10.8,"","",""
"83","NLA06608-0069",2007,1,"YES","7/18/2007",0.65,"","",""
"84","NLA06608-0069",2007,2,"YES","9/26/2007",0.55,"","",""
"85","NLA06608-0071",2007,1,"YES","9/6/2007",0.38,"","",""
"86","NLA06608-0071",2007,2,"YES","9/8/2007",0.38,"","",""
"87","NLA06608-0072",2007,1,"YES","7/26/2007",0.68,"","",""
"88","NLA06608-0072",2007,2,"YES","8/15/2007",0.35,"","",""
"89","NLA06608-0073",2007,1,"YES","6/12/2007",13.45,"","",""
"90","NLA06608-0073",2007,2,"YES","7/18/2007",6.95,"","",""
"91","NLA06608-0076",2007,1,"YES","7/27/2007",1.26,"","",""
"92","NLA06608-0076",2007,2,"YES","9/4/2007",0.64,"","",""
"93","NLA06608-0077",2007,1,"NO, EQUIPMENT FAILURE","9/8/2007",NA,"","","USED PLANKTON NET AS SECCHI=0.55m; not valid measure"
"94","NLA06608-0077",2007,2,"YES","9/13/2007",0.45,"","",""
"95","NLA06608-0078",2007,1,"YES","8/8/2007",0.75,"","",""
"96","NLA06608-0078",2007,2,"YES","8/21/2007",0.59,"","",""
"97","NLA06608-0079",2007,1,"YES","7/12/2007",6.85,"","",""
"98","NLA06608-0079",2007,2,"YES","8/16/2007",6.85,"","",""
"99","NLA06608-0080",2007,1,"YES","9/9/2007",0.51,"","",""
"100","NLA06608-0080",2007,2,"YES","9/10/2007",0.46,"","",""
"101","NLA06608-0081",2007,1,"YES","7/3/2007",5.74,"","",""
"102","NLA06608-0081",2007,2,"YES","9/19/2007",2.15,"","",""
"103","NLA06608-0083",2007,1,"YES, CLEAR TO BOTTOM","6/13/2007",NA,"Y",""," -ATH:Clear to Bottom Secchi numbers set to missing"
"104","NLA06608-0083",2007,2,"YES, CLEAR TO BOTTOM","8/9/2007",NA,"Y","","CLEAR TO BOTTOM-ATH:Clear to Bottom Secchi numbers set to missing"
"105","NLA06608-0085",2007,1,"YES","7/10/2007",0.1,"","",""
"106","NLA06608-0085",2007,2,"YES","8/20/2007",0.15,"","",""
"107","NLA06608-0086",2007,1,"YES","8/2/2007",2.07,"","",""
"108","NLA06608-0086",2007,2,"YES","9/20/2007",0.97,"","",""
"109","NLA06608-0089",2007,1,"YES","6/17/2007",1.35,"","",""
"110","NLA06608-0089",2007,2,"YES","7/17/2007",1.1,"","",""
"111","NLA06608-0090",2007,1,"YES","6/26/2007",4.15,"","","LAKE IS 7.9 METERS DEEP"
"112","NLA06608-0090",2007,2,"YES","7/25/2007",4.43,"","","LAKE IS 6.6 M DEEP"
"113","NLA06608-0091",2007,1,"YES","7/10/2007",0.31,"","",""
"114","NLA06608-0091",2007,2,"YES","8/13/2007",0.23,"","",""
"115","NLA06608-0099",2007,1,"YES","7/3/2007",1.95,"","",""
"116","NLA06608-0099",2007,2,"YES","9/5/2007",3.75,"","",""
"117","NLA06608-0101",2007,1,"YES","8/21/2007",9.6,"","",""
"118","NLA06608-0102",2007,1,"YES","8/3/2007",4.37,"","",""
"119","NLA06608-0104",2007,1,"YES","6/22/2007",0.23,"","",""
"120","NLA06608-0104",2007,2,"YES","7/24/2007",0.4,"","",""
"121","NLA06608-0105",2007,1,"YES","7/5/2007",1.4,"","",""
"122","NLA06608-0105",2007,2,"YES","9/12/2007",0.28,"","",""
"123","NLA06608-0107",2007,1,"YES, CLEAR TO BOTTOM","6/25/2007",NA,"Y","",""
"124","NLA06608-0110",2007,1,"YES","7/31/2007",3.85,"","",""
"125","NLA06608-0111",2007,1,"YES","8/1/2007",1.68,"","",""
"126","NLA06608-0112",2007,1,"YES","7/9/2007",0.51,"","",""
"127","NLA06608-0113",2007,1,"YES","7/16/2007",2.3,"","",""
"128","NLA06608-0115",2007,1,"YES","7/18/2007",2.6,"","",""
"129","NLA06608-0116",2007,1,"YES","6/28/2007",1.43,"","",""
"130","NLA06608-0120",2007,1,"YES","6/18/2007",0.18,"","",""
"131","NLA06608-0120",2007,2,"YES","9/26/2007",0.5,"","U","COMMENTS ON LAKE ASSESSMENT: made own secchi disk, -ATH: OK"
"132","NLA06608-0124",2007,1,"YES","7/19/2007",0.2,"","",""
"133","NLA06608-0126",2007,1,"YES","6/21/2007",0.17,"","",""
"134","NLA06608-0126",2007,2,"YES","8/28/2007",0.15,"","",""
"135","NLA06608-0127",2007,1,"YES","7/11/2007",2.2,"","",""
"136","NLA06608-0128",2007,1,"YES","6/21/2007",0.85,"","",""
"137","NLA06608-0128",2007,2,"YES","8/25/2007",0.34,"","",""
"138","NLA06608-0129",2007,1,"YES","7/21/2007",9.11,"","",""
"139","NLA06608-0129",2007,2,"YES","9/16/2007",5,"","",""
"140","NLA06608-0130",2007,1,"YES","8/13/2007",1.63,"","",""
"141","NLA06608-0132",2007,1,"YES","8/28/2007",1.35,"","",""
"142","NLA06608-0134",2007,1,"YES","7/24/2007",7.6,"","",""
"143","NLA06608-0137",2007,1,"YES","9/17/2007",9.9,"","",""
"144","NLA06608-0139",2007,1,"YES","7/11/2007",1.35,"","",""
"145","NLA06608-0140",2007,1,"YES","6/20/2007",0.53,"","",""
"146","NLA06608-0141",2007,1,"YES","8/23/2007",0.52,"","",""
"147","NLA06608-0142",2007,1,"YES","8/13/2007",4.7,"","",""
"148","NLA06608-0144",2007,1,"YES","8/2/2007",0.96,"","",""
"149","NLA06608-0144",2007,2,"YES","9/13/2007",0.5,"","",""
"150","NLA06608-0148",2007,1,"YES","7/26/2007",2.8,"","",""
"151","NLA06608-0149",2007,1,"YES","7/18/2007",2.3,"","","SLIGHT BREEZE BREAKING VISIBILITY"
"152","NLA06608-0150",2007,1,"YES","8/2/2007",1.97,"","","SCOPE MEASUREMENTS LOST"
"153","NLA06608-0152",2007,1,"YES","7/17/2007",1.2,"","",""
"154","NLA06608-0153",2007,1,"YES","8/30/2007",1.68,"","",""
"155","NLA06608-0155",2007,1,"YES","7/31/2007",0.87,"","",""
"156","NLA06608-0158",2007,1,"YES","9/5/2007",5.58,"","",""
"157","NLA06608-0161",2007,1,"YES","8/15/2007",0.65,"","",""
"158","NLA06608-0162",2007,1,"YES","8/28/2007",2.15,"","",""
"159","NLA06608-0167",2007,1,"YES","7/23/2007",0.1,"","",""
"160","NLA06608-0167",2007,2,"YES","8/29/2007",0.1,"","",""
"161","NLA06608-0168",2007,1,"YES","6/13/2007",0.4,"","",""
"162","NLA06608-0169",2007,1,"YES","7/5/2007",5.35,"","",""
"163","NLA06608-0169",2007,2,"YES","9/13/2007",1.65,"","",""
"164","NLA06608-0170",2007,1,"YES, CLEAR TO BOTTOM","9/21/2007",NA,"Y","",""
"165","NLA06608-0173",2007,1,"YES","7/11/2007",0.22,"","",""
"166","NLA06608-0174",2007,1,"YES","7/25/2007",1.7,"","",""
"167","NLA06608-0174",2007,2,"YES","8/28/2007",2.1,"","",""
"168","NLA06608-0175",2007,1,"YES","8/30/2007",0.91,"","",""
"169","NLA06608-0176",2007,1,"YES","9/7/2007",0.29,"","",""
"170","NLA06608-0177",2007,1,"YES","8/22/2007",2.75,"","",""
"171","NLA06608-0179",2007,1,"YES","6/4/2007",0.57,"","",""
"172","NLA06608-0179",2007,2,"YES","8/29/2007",0.4,"","",""
"173","NLA06608-0180",2007,1,"YES","8/29/2007",0.24,"","",""
"174","NLA06608-0181",2007,1,"YES","9/20/2007",7,"","",""
"175","NLA06608-0183",2007,1,"YES","7/25/2007",1.1,"","",""
"176","NLA06608-0184",2007,1,"YES","6/15/2007",0.35,"","",""
"177","NLA06608-0185",2007,1,"YES, CLEAR TO BOTTOM","8/14/2007",NA,"Y","","SECCHI TO BOTTOM 2.45M"
"178","NLA06608-0189",2007,1,"YES","6/11/2007",0.38,"","",""
"179","NLA06608-0189",2007,2,"YES","7/10/2007",0.58,"","",""
"180","NLA06608-0190",2007,1,"YES","8/14/2007",2.45,"","",""
"181","NLA06608-0191",2007,1,"YES","7/21/2007",6.9,"","",""
"182","NLA06608-0193",2007,1,"YES, CLEAR TO BOTTOM","7/11/2007",NA,"Y","",""
"183","NLA06608-0195",2007,1,"YES","6/12/2007",0.83,"","",""
"184","NLA06608-0196",2007,1,"YES","6/21/2007",0.83,"","",""
"185","NLA06608-0198",2007,1,"YES","7/24/2007",2.1,"","",""
"186","NLA06608-0201",2007,1,"YES","9/18/2007",7.75,"","",""
"187","NLA06608-0203",2007,1,"YES","8/2/2007",4.48,"","",""
"188","NLA06608-0204",2007,1,"YES","9/12/2007",0.4,"","",""
"189","NLA06608-0207",2007,1,"YES","7/18/2007",2.1,"","",""
"190","NLA06608-0207",2007,2,"YES","9/5/2007",1.7,"","",""
"191","NLA06608-0208",2007,1,"YES","9/6/2007",0.28,"","",""
"192","NLA06608-0209",2007,1,"YES","7/19/2007",7.1,"","",""
"193","NLA06608-0209",2007,2,"YES","9/27/2007",4.62,"","",""
"194","NLA06608-0211",2007,1,"YES, CLEAR TO BOTTOM","8/7/2007",NA,"Y","","VEGETATION DOES OBSCURE-ATH:Clear to Bottom Secchi numbers set to missing"
"195","NLA06608-0212",2007,1,"YES","7/12/2007",2.1,"","",""
"196","NLA06608-0215",2007,1,"YES","8/22/2007",0.68,"","",""
"197","NLA06608-0216",2007,1,"YES","7/6/2007",0.35,"","",""
"198","NLA06608-0217",2007,1,"YES","6/24/2007",1.13,"","",""
"199","NLA06608-0219",2007,1,"YES","8/1/2007",0.35,"","",""
"200","NLA06608-0220",2007,1,"YES","8/2/2007",0.1,"","",""
"201","NLA06608-0221",2007,1,"YES","6/28/2007",0.72,"","",""
"202","NLA06608-0222",2007,1,"YES","6/27/2007",0.48,"","",""
"203","NLA06608-0223",2007,1,"YES","6/27/2007",1.38,"","",""
"204","NLA06608-0223",2007,2,"YES","8/29/2007",0.65,"","",""
"205","NLA06608-0224",2007,1,"YES","7/19/2007",1.93,"","",""
"206","NLA06608-0224",2007,2,"YES","9/23/2007",2.86,"","",""
"207","NLA06608-0225",2007,1,"YES","7/11/2007",4.3,"","",""
"208","NLA06608-0225",2007,2,"YES","8/24/2007",1.85,"","",""
"209","NLA06608-0226",2007,1,"YES","7/9/2007",2.43,"","",""
"210","NLA06608-0228",2007,1,"YES","6/26/2007",4.4,"","",""
"211","NLA06608-0228",2007,2,"YES","8/6/2007",0.65,"","",""
"212","NLA06608-0229",2007,1,"YES","9/13/2007",3,"","",""
"213","NLA06608-0234",2007,1,"YES","8/23/2007",3.3,"","",""
"214","NLA06608-0235",2007,1,"YES","7/16/2007",1.65,"","",""
"215","NLA06608-0237",2007,1,"YES, CLEAR TO BOTTOM","6/26/2007",NA,"Y","",""
"216","NLA06608-0237",2007,2,"YES, CLEAR TO BOTTOM","7/17/2007",NA,"Y","",""
"217","NLA06608-0238",2007,1,"YES","7/11/2007",3.9,"","",""
"218","NLA06608-0239",2007,1,"YES","7/24/2007",1.9,"","",""
"219","NLA06608-0240",2007,1,"YES","7/25/2007",3.05,"","",""
"220","NLA06608-0241",2007,1,"YES","8/15/2007",0.35,"","",""
"221","NLA06608-0242",2007,1,"YES","8/2/2007",2.6,"","",""
"222","NLA06608-0243",2007,1,"YES","7/18/2007",3.89,"","",""
"223","NLA06608-0244",2007,1,"YES","6/20/2007",1.03,"","",""
"224","NLA06608-0245",2007,1,"YES","7/24/2007",5.15,"","",""
"225","NLA06608-0247",2007,1,"YES","7/17/2007",1.19,"","",""
"226","NLA06608-0253",2007,1,"YES","8/8/2007",0.83,"","",""
"227","NLA06608-0254",2007,1,"YES","6/21/2007",0.6,"","",""
"228","NLA06608-0255",2007,1,"YES","8/7/2007",3.63,"","",""
"229","NLA06608-0257",2007,1,"YES","7/18/2007",4.65,"","",""
"230","NLA06608-0259",2007,1,"YES","6/14/2007",0.55,"","",""
"231","NLA06608-0260",2007,1,"YES","8/30/2007",3.7,"","",""
"232","NLA06608-0268",2007,1,"YES","9/10/2007",1.05,"","",""
"233","NLA06608-0271",2007,1,"YES","6/27/2007",0.38,"","U","DUE TO CHOPPY WAVES AT INDEX LOCATION SECCHI TAKEN IN CANAL NEAR LAUNCH"
"234","NLA06608-0275",2007,1,"YES","6/21/2007",0.75,"","",""
"235","NLA06608-0276",2007,1,"YES","8/7/2007",7.4,"","",""
"236","NLA06608-0277",2007,1,"YES","7/20/2007",0.55,"","",""
"237","NLA06608-0279",2007,1,"YES","8/8/2007",0.25,"","",""
"238","NLA06608-0280",2007,1,"YES","7/25/2007",0.98,"","",""
"239","NLA06608-0281",2007,1,"YES","6/20/2007",0.73,"","",""
"240","NLA06608-0283",2007,1,"YES","7/9/2007",0.54,"","",""
"241","NLA06608-0284",2007,1,"YES","7/30/2007",0.46,"","",""
"242","NLA06608-0285",2007,1,"YES","7/24/2007",0.55,"","",""
"243","NLA06608-0286",2007,1,"YES","8/8/2007",5.42,"","",""
"244","NLA06608-0290",2007,1,"YES","7/11/2007",0.45,"","",""
"245","NLA06608-0290",2007,2,"YES","9/10/2007",0.1,"","",""
"246","NLA06608-0291",2007,1,"YES","7/11/2007",3.65,"","",""
"247","NLA06608-0293",2007,1,"YES","7/25/2007",1.2,"","",""
"248","NLA06608-0294",2007,1,"YES","6/26/2007",5.05,"","",""
"249","NLA06608-0295",2007,1,"YES","6/26/2007",0.67,"","",""
"250","NLA06608-0297",2007,1,"YES","7/24/2007",1.13,"","",""
"251","NLA06608-0299",2007,1,"YES","7/30/2007",2.85,"","",""
"252","NLA06608-0302",2007,1,"YES","6/23/2007",0.22,"","",""
"253","NLA06608-0303",2007,1,"YES","8/7/2007",0.63,"","",""
"254","NLA06608-0306",2007,1,"YES","7/16/2007",0.15,"","",""
"255","NLA06608-0312",2007,1,"YES","7/16/2007",0.9,"","",""
"256","NLA06608-0313",2007,1,"YES","7/13/2007",0.73,"","",""
"257","NLA06608-0318",2007,1,"YES","7/20/2007",1.65,"","",""
"258","NLA06608-0319",2007,1,"YES","7/22/2007",1.45,"","",""
"259","NLA06608-0324",2007,1,"YES","8/8/2007",1.5,"","",""
"260","NLA06608-0325",2007,1,"YES","7/17/2007",0.55,"","",""
"261","NLA06608-0326",2007,1,"YES","8/16/2007",4.25,"","",""
"262","NLA06608-0327",2007,1,"YES","6/27/2007",0.31,"","",""
"263","NLA06608-0328",2007,1,"YES","8/25/2007",0.53,"","",""
"264","NLA06608-0328",2007,2,"YES","9/15/2007",0.43,"","",""
"265","NLA06608-0330",2007,1,"YES","9/5/2007",3.95,"","",""
"266","NLA06608-0332",2007,1,"YES","9/4/2007",1.93,"","",""
"267","NLA06608-0333",2007,1,"YES","7/24/2007",2.5,"","",""
"268","NLA06608-0334",2007,1,"YES","6/27/2007",1.63,"","",""
"269","NLA06608-0337",2007,1,"YES","7/12/2007",3.03,"","",""
"270","NLA06608-0339",2007,1,"YES","6/25/2007",1.95,"","",""
"271","NLA06608-0340",2007,1,"YES","6/21/2007",1.87,"","",""
"272","NLA06608-0341",2007,1,"YES","9/18/2007",3.65,"","",""
"273","NLA06608-0343",2007,1,"YES","8/21/2007",1.36,"","",""
"274","NLA06608-0344",2007,1,"YES","7/5/2007",1,"","",""
"275","NLA06608-0345",2007,1,"YES","6/21/2007",2.45,"","",""
"276","NLA06608-0350",2007,1,"YES","8/9/2007",1.15,"","",""
"277","NLA06608-0354",2007,1,"YES, CLEAR TO BOTTOM","7/19/2007",NA,"Y",""," -ATH:Clear to Bottom Secchi numbers set to missing"
"278","NLA06608-0356",2007,1,"YES","7/16/2007",1.85,"","",""
"279","NLA06608-0357",2007,1,"YES","7/27/2007",1.78,"","",""
"280","NLA06608-0358",2007,1,"YES","7/17/2007",2.23,"","","."
"281","NLA06608-0359",2007,1,"YES","7/10/2007",0.3,"","",""
"282","NLA06608-0361",2007,1,"YES","7/15/2007",1.98,"","",""
"283","NLA06608-0363",2007,1,"YES","7/21/2007",1.7,"","",""
"284","NLA06608-0366",2007,1,"YES","7/31/2007",2.55,"","",""
"285","NLA06608-0367",2007,1,"YES","8/23/2007",0.29,"","","-ATH: field form numbers in cm converted to m"
"286","NLA06608-0369",2007,1,"YES","7/26/2007",6,"","",""
"287","NLA06608-0372",2007,1,"YES","8/3/2007",5.4,"","",""
"288","NLA06608-0373",2007,1,"YES","7/12/2007",7.74,"","",""
"289","NLA06608-0376",2007,1,"YES","8/22/2007",1.73,"","",""
"290","NLA06608-0377",2007,1,"YES","7/12/2007",0.55,"","",""
"291","NLA06608-0378",2007,1,"YES","6/26/2007",3,"","",""
"292","NLA06608-0384",2007,1,"YES, CLEAR TO BOTTOM","6/28/2007",NA,"Y","","CLEAR TO BOTTOM-ATH:Clear to Bottom Secchi numbers set to missing"
"293","NLA06608-0385",2007,1,"YES, CLEAR TO BOTTOM","7/6/2007",NA,"Y","",""
"294","NLA06608-0386",2007,1,"YES","8/7/2007",6.8,"","",""
"295","NLA06608-0388",2007,1,"YES","8/16/2007",3.48,"","",""
"296","NLA06608-0388",2007,2,"YES","8/26/2007",4.5,"","",""
"297","NLA06608-0393",2007,1,"YES","7/23/2007",2.74,"","",""
"298","NLA06608-0395",2007,1,"YES","6/27/2007",0.68,"","",""
"299","NLA06608-0399",2007,1,"YES","7/16/2007",2.27,"","",""
"300","NLA06608-0401",2007,1,"YES","8/27/2007",1.87,"","","SECCHI WITH SCOPE MEASUREMENTS:DISAPPEARS--2.28, APPEARS--2.09."
"301","NLA06608-0402",2007,1,"YES","6/26/2007",0.82,"","",""
"302","NLA06608-0402",2007,2,"YES","9/6/2007",1.84,"","",""
"303","NLA06608-0403",2007,1,"YES","8/6/2007",2.05,"","",""
"304","NLA06608-0405",2007,1,"YES","8/30/2007",2.55,"","",""
"305","NLA06608-0406",2007,1,"NOT DONE","8/21/2007",NA,"","K","DID NOT RECORD SECCHI AT THE SITE"
"306","NLA06608-0407",2007,1,"YES","7/23/2007",2.47,"","",""
"307","NLA06608-0408",2007,1,"YES","6/20/2007",1.17,"","",""
"308","NLA06608-0413",2007,1,"YES","6/27/2007",0.95,"","",""
"309","NLA06608-0414",2007,1,"YES","7/31/2007",0.9,"","",""
"310","NLA06608-0418",2007,1,"YES, CLEAR TO BOTTOM","7/19/2007",NA,"Y",""," -ATH:Clear to Bottom Secchi numbers set to missing"
"311","NLA06608-0421",2007,1,"YES","6/28/2007",2.9,"","",""
"312","NLA06608-0425",2007,1,"YES","8/1/2007",1.43,"","",""
"313","NLA06608-0426",2007,1,"YES","9/17/2007",3.6,"","",""
"314","NLA06608-0432",2007,1,"YES","7/16/2007",0.31,"","",""
"315","NLA06608-0433",2007,1,"YES","8/9/2007",5.05,"","",""
"316","NLA06608-0435",2007,1,"YES","7/23/2007",0.8,"","",""
"317","NLA06608-0436",2007,1,"YES","9/5/2007",1.52,"","",""
